['testing/AStar-Alg3-LmCut-transport18'],[80.1350359916687]
['testing/AStar-Alg3-LmCut-transport19'],[73.88529801368713]
['testing/AStar-Alg3-LmCut-transport20'],[35.76827311515808]
['testing/AStar-Alg3-LmCut-transport21'],[77.2415919303894]
['testing/AStar-Alg3-LmCut-transport22'],[76.61909484863281]
['testing/AStar-Alg3-LmCut-transport23'],[70.45486807823181]
['testing/AStar-Alg3-LmCut-transport24'],[42.00153088569641]
['testing/AStar-Alg3-LmCut-transport25'],[70.03232908248901]
['testing/AStar-Alg3-LmCut-transport26'],[83.89583706855774]
['testing/AStar-Alg3-LmCut-transport27'],[72.07958602905273]
['testing/AStar-Alg3-LmCut-transport28'],[78.4064769744873]
['testing/AStar-Alg3-LmCut-transport29'],[60.986671924591064]
['testing/AStar-Alg3-LmCut-transport30'],[53.46299600601196]
['testing/AStar-Alg3-LmCut-woodworking1'],[2.523437023162842]
['testing/AStar-Alg3-LmCut-woodworking2'],[0.1485450267791748]
['testing/AStar-Alg3-LmCut-woodworking3'],[0.16620397567749023]
['testing/AStar-Alg3-LmCut-woodworking4'],[0.17471790313720703]
['testing/AStar-Alg3-LmCut-woodworking5'],[0.18896198272705078]
['testing/AStar-Alg3-LmCut-woodworking6'],[0.19818401336669922]
['testing/AStar-Alg3-LmCut-woodworking7'],[20.6131911277771]
['testing/AStar-Alg3-LmCut-woodworking8'],[22.179064989089966]
['testing/AStar-Alg3-LmCut-woodworking9'],[21.63608407974243]
['testing/AStar-Alg3-LmCut-woodworking10'],[23.713411808013916]
['testing/AStar-Alg3-LmCut-woodworking11'],[27.705525159835815]
