,num_variables,num_primitive_tasks,num_non_primitive_tasks,total_tasks,num_methods,initial_heuristic,expanded_nodes,solution_length
umtranslog-p20.hddl,15,13,1,14,1,14,2,18
umtranslog-p21.hddl,24,20,1,21,1,21,146,27
umtranslog-p22.hddl,15,12,2,14,3,14,55,20

,num_variables,num_primitive_tasks,num_non_primitive_tasks,total_tasks,num_methods,initial_heuristic,expanded_nodes,solution_length
woodworking-p1.hddl,24,89,53,142,197,17,358743,19
woodworking-p2.hddl,10,8,4,12,9,6,26,6
woodworking-p3.hddl,19,18,3,21,15,9,230,9
woodworking-p4.hddl,10,7,5,12,10,7,32,7
woodworking-p5.hddl,21,21,11,32,34,13,1430,13
woodworking-p6.hddl,23,25,11,36,38,13,1876,13
woodworking-p7.hddl,55,164,90,254,320,30,514242,undefined
woodworking-p8.hddl,90,588,324,912,1357,32,316641,undefined
woodworking-p9.hddl,76,400,272,672,1142,23,undefined,undefined
woodworking-p10.hddl,101,701,381,1082,1577,38,212948,undefined
woodworking-p11.hddl,99,739,442,1181,2001,22,182918,undefined

