['AStar-Alg3-LmCut-rover15'],[0.03167605400085449]
['AStar-Alg3-LmCut-rover16'],[0.03151416778564453]
['AStar-Alg3-LmCut-rover17'],[0.03090381622314453]
['AStar-Alg3-LmCut-rover18'],[0.03144407272338867]
['AStar-Alg3-LmCut-rover19'],[0.025913000106811523]
['AStar-Alg3-LmCut-rover20'],[0.03267812728881836]
['AStar-Alg3-LmCut-pcp1'],[0.024116992950439453]
['AStar-Alg3-LmCut-pcp2'],[0.02267289161682129]
['AStar-Alg3-LmCut-pcp3'],[0.021502017974853516]
['AStar-Alg3-LmCut-pcp4'],[0.023843050003051758]
['AStar-Alg3-LmCut-pcp5'],[0.022564172744750977]
['AStar-Alg3-LmCut-pcp6'],[0.023096084594726562]
['AStar-Alg3-LmCut-pcp7'],[0.023352861404418945]
['AStar-Alg3-LmCut-pcp8'],[0.02186894416809082]
['AStar-Alg3-LmCut-pcp9'],[0.02402806282043457]
['AStar-Alg3-LmCut-pcp10'],[0.021574974060058594]
['AStar-Alg3-LmCut-pcp11'],[0.024124860763549805]
['AStar-Alg3-LmCut-pcp12'],[0.021824121475219727]
['AStar-Alg3-LmCut-pcp13'],[0.02413201332092285]
['AStar-Alg3-LmCut-pcp14'],[0.02300095558166504]
['AStar-Alg3-LmCut-pcp15'],[0.022692203521728516]
['AStar-Alg3-LmCut-pcp16'],[0.022552013397216797]
['AStar-Alg3-LmCut-pcp17'],[0.023140907287597656]
['AStar-Alg3-LmCut-smartphone1'],[0.023746967315673828]
['AStar-Alg3-LmCut-smartphone2'],[0.02604508399963379]
['AStar-Alg3-LmCut-smartphone3'],[0.025585174560546875]
['AStar-Alg3-LmCut-smartphone4'],[0.02495598793029785]
['AStar-Alg3-LmCut-smartphone5'],[0.025294065475463867]
['AStar-Alg3-LmCut-smartphone6'],[0.030063152313232422]
['AStar-Alg3-LmCut-smartphone7'],[0.025659799575805664]
['AStar-Alg3-LmCut-transport1'],[0.022890090942382812]
['AStar-Alg3-LmCut-transport2'],[0.02361011505126953]
['AStar-Alg3-LmCut-transport3'],[0.02351689338684082]
['AStar-Alg3-LmCut-transport4'],[0.01941514015197754]
['AStar-Alg3-LmCut-transport5'],[0.019129037857055664]
['AStar-Alg3-LmCut-transport6'],[0.019588947296142578]
['AStar-Alg3-LmCut-transport7'],[0.019348859786987305]
['AStar-Alg3-LmCut-transport8'],[0.018127918243408203]
['AStar-Alg3-LmCut-transport9'],[0.01823592185974121]
['AStar-Alg3-LmCut-transport10'],[0.01671600341796875]
['AStar-Alg3-LmCut-transport11'],[0.01807999610900879]
