['AStar-Alg3-Add-entertainment9'],[3.371371030807495]
['AStar-Alg3-Add-entertainment10'],[3.1558468341827393]
['AStar-Alg3-Add-entertainment11'],[3.530385971069336]
['AStar-Alg3-Add-entertainment12'],[3.531667947769165]
['AStar-Alg3-Add-rover1'],[0.06817293167114258]
['AStar-Alg3-Add-rover2'],[0.059098005294799805]
['AStar-Alg3-Add-rover3'],[0.08868598937988281]
['AStar-Alg3-Add-rover4'],[0.05682492256164551]
['AStar-Alg3-Add-rover5'],[3.061490058898926]
['AStar-Alg3-Add-rover6'],[3.0832359790802]
['AStar-Alg3-Add-rover7'],[3.1089041233062744]
['AStar-Alg3-Add-rover8'],[3.115596055984497]
['AStar-Alg3-Add-rover9'],[3.1297240257263184]
['AStar-Alg3-Add-rover10'],[3.07436203956604]
['AStar-Alg3-Add-rover11'],[3.1522209644317627]
['AStar-Alg3-Add-rover12'],[3.1153957843780518]
['AStar-Alg3-Add-rover13'],[3.116696834564209]
['AStar-Alg3-Add-rover14'],[3.1819422245025635]
['AStar-Alg3-Add-rover15'],[3.1745920181274414]
['AStar-Alg3-Add-rover16'],[3.0778400897979736]
['AStar-Alg3-Add-rover17'],[3.3113598823547363]
['AStar-Alg3-Add-rover18'],[3.2150490283966064]
['AStar-Alg3-Add-rover19'],[3.2022390365600586]
['AStar-Alg3-Add-rover20'],[3.154897928237915]
['AStar-Alg3-Add-pcp1'],[3.7715580463409424]
['AStar-Alg3-Add-pcp2'],[3.8965861797332764]
['AStar-Alg3-Add-pcp3'],[4.940019845962524]
['AStar-Alg3-Add-pcp4'],[3.7587740421295166]
['AStar-Alg3-Add-pcp5'],[5.106433153152466]
['AStar-Alg3-Add-pcp6'],[5.523463010787964]
['AStar-Alg3-Add-pcp7'],[3.9297451972961426]
['AStar-Alg3-Add-pcp8'],[5.499605894088745]
['AStar-Alg3-Add-pcp9'],[5.496784925460815]
['AStar-Alg3-Add-pcp10'],[3.2477569580078125]
['AStar-Alg3-Add-pcp11'],[3.4207489490509033]
['AStar-Alg3-Add-pcp12'],[3.8938229084014893]
['AStar-Alg3-Add-pcp13'],[3.26774001121521]
['AStar-Alg3-Add-pcp14'],[5.577012062072754]
['AStar-Alg3-Add-pcp15'],[5.67247200012207]
['AStar-Alg3-Add-pcp16'],[5.493145942687988]
['AStar-Alg3-Add-pcp17'],[3.0708508491516113]
['AStar-Alg3-Add-smartphone1'],[0.10109496116638184]
['AStar-Alg3-Add-smartphone2'],[3.2279469966888428]
['AStar-Alg3-Add-smartphone3'],[3.819624185562134]
['AStar-Alg3-Add-smartphone4'],[4.166056156158447]
['AStar-Alg3-Add-smartphone5'],[0.055943965911865234]
['AStar-Alg3-Add-smartphone6'],[0.05898880958557129]
['AStar-Alg3-Add-smartphone7'],[0.05406999588012695]
['AStar-Alg3-Add-transport1'],[3.359959125518799]
['AStar-Alg3-Add-transport2'],[3.884917974472046]
['AStar-Alg3-Add-transport3'],[3.249774932861328]
['AStar-Alg3-Add-transport4'],[3.2438290119171143]
['AStar-Alg3-Add-transport5'],[3.5591330528259277]
['AStar-Alg3-Add-transport6'],[3.4974279403686523]
['AStar-Alg3-Add-transport7'],[3.5349490642547607]
['AStar-Alg3-Add-transport8'],[3.4270570278167725]
['AStar-Alg3-Add-transport9'],[3.2346529960632324]
['AStar-Alg3-Add-transport10'],[3.877005100250244]
['AStar-Alg3-Add-transport11'],[3.473809003829956]
['AStar-Alg3-Add-transport12'],[3.669102191925049]
['AStar-Alg3-Add-transport13'],[3.315040111541748]
['AStar-Alg3-Add-transport14'],[3.5752761363983154]
['AStar-Alg3-Add-transport15'],[3.2908999919891357]
['AStar-Alg3-Add-transport16'],[3.283080816268921]
['AStar-Alg3-Add-transport17'],[4.274554014205933]
['AStar-Alg3-Add-transport18'],[3.4562649726867676]
['AStar-Alg3-Add-transport19'],[3.356719970703125]
['AStar-Alg3-Add-transport20'],[3.6730000972747803]
['AStar-Alg3-Add-transport21'],[3.0716919898986816]
['AStar-Alg3-Add-transport22'],[3.44193696975708]
['AStar-Alg3-Add-transport23'],[3.7139108180999756]
['AStar-Alg3-Add-transport24'],[3.1114349365234375]
['AStar-Alg3-Add-transport25'],[3.4927289485931396]
['AStar-Alg3-Add-transport26'],[3.237786054611206]
['AStar-Alg3-Add-transport27'],[3.559110164642334]
['AStar-Alg3-Add-transport28'],[3.2396059036254883]
['AStar-Alg3-Add-transport29'],[3.448070764541626]
['AStar-Alg3-Add-transport30'],[4.514354944229126]
['AStar-Alg3-Add-woodworking1'],[0.12099599838256836]
['AStar-Alg3-Add-woodworking2'],[0.0545809268951416]
['AStar-Alg3-Add-woodworking3'],[0.056893110275268555]
['AStar-Alg3-Add-woodworking4'],[0.056797027587890625]
['AStar-Alg3-Add-woodworking5'],[0.05891704559326172]
['AStar-Alg3-Add-woodworking6'],[0.058717966079711914]
['AStar-Alg3-Add-woodworking7'],[3.066593885421753]
['AStar-Alg3-Add-woodworking8'],[3.133702039718628]
['AStar-Alg3-Add-woodworking9'],[3.0924489498138428]
['AStar-Alg3-Add-woodworking10'],[3.1362390518188477]
['AStar-Alg3-Add-woodworking11'],[3.0851399898529053]
['WA2-Alg3-FF-umtranslog1'],[0.05613303184509277]
['WA2-Alg3-FF-umtranslog2'],[0.0567629337310791]
['WA2-Alg3-FF-umtranslog3'],[0.05580019950866699]
['WA2-Alg3-FF-umtranslog4'],[0.05750012397766113]
['WA2-Alg3-FF-umtranslog5'],[0.05591297149658203]
['WA2-Alg3-FF-umtranslog6'],[0.0579681396484375]
['WA2-Alg3-FF-umtranslog7'],[0.05762505531311035]
['WA2-Alg3-FF-umtranslog8'],[0.05866289138793945]
['WA2-Alg3-FF-umtranslog9'],[0.05661201477050781]
['WA2-Alg3-FF-umtranslog10'],[0.05791497230529785]
['WA2-Alg3-FF-umtranslog11'],[0.05616903305053711]
['WA2-Alg3-FF-umtranslog12'],[0.057576894760131836]
['WA2-Alg3-FF-umtranslog13'],[0.05586409568786621]
['WA2-Alg3-FF-umtranslog14'],[0.058316946029663086]
['WA2-Alg3-FF-umtranslog15'],[0.05942797660827637]
['WA2-Alg3-FF-umtranslog16'],[0.15100407600402832]
['WA2-Alg3-FF-umtranslog17'],[0.06009411811828613]
['WA2-Alg3-FF-umtranslog18'],[0.059346914291381836]
['WA2-Alg3-FF-umtranslog19'],[0.05723404884338379]
['WA2-Alg3-FF-umtranslog20'],[0.07329797744750977]
['WA2-Alg3-FF-umtranslog21'],[0.05593299865722656]
['WA2-Alg3-FF-umtranslog22'],[0.055954933166503906]
['WA2-Alg3-FF-satellite1'],[0.060163021087646484]
['WA2-Alg3-FF-satellite2'],[0.05861186981201172]
['WA2-Alg3-FF-satellite3'],[0.060720205307006836]
